name,rating
Chris Wood,"8,81"
Daniel Ballard,"8,73"
Marco Bizot,"8,53"
Cody Gakpo,"8,48"
Hugo Ekitike,"8,46"
Dango Ouattara,"8,39"
Richarlison,"8,38"
Nick Pope,"8,30"
Mohammed Kudus,"8,24"
Guglielmo Vicario,8.20
Mohamed Salah,8.19
Morgan Gibbs-White,8.18
Elliot Anderson,8.15
Antoine Semenyo,8.10
Virgil van Dijk,8.09
David Raya,8.04
Dean Henderson,8.02
Brennan Johnson,7.98
Josh Cullen,7.90
Mikkel Damsgaard,7.84
Moisés Caicedo,7.80
Trevoh Chalobah,7.78
Josh Acheampong,7.77
Alexis Mac Allister,7.75
Jurrien Timber,7.71
Matthew O'Riley,7.68
Marc Cucurella,7.67
Fabian Schär,7.64
Ola Aina,7.60
Erling Haaland,7.60
Lewis Dunk,7.58
Daniel Burn,7.53
Murillo,7.52
Pedro Neto,7.52
Jaidon Anthony,7.49
Viktor Gyökeres,7.49
Joao Pedro,7.47
Ben White,7.46
Matz Sels,7.46
Nico González,7.45
Oscar Bobb,7.45
Kenny Tete,7.44
Bukayo Saka,7.41
Joachim Andersen,7.41
Pedro Porro,7.41
Dan Ndoye,7.37
Bruno Fernandes,7.36
Tosin Adarabioyo,7.36
James Trafford,7.35
Martin Zubimendi,7.35
Lucas Paquetá,7.34
David Brooks,7.32
Micky van de Ven,7.32
Wataru Endo,7.32
Tijjani Reijnders,7.31
Martin Ødegaard,7.30
Amadou Onana,7.28
Mats Wieffer,7.27
Callum Hudson-Odoi,7.26
Estevao,7.26
Tyrick Mitchell,7.25
Jeremie Frimpong,7.24
Kieran Trippier,7.24
Reece James,7.24
Amine Adli,7.23
Amad,7.22
Lucas Bergvall,7.22
Nikola Milenkovic,7.22
Jan Paul van Hecke,7.20
Yasin Ayari,7.19
Cristian Romero,7.19
Carlos Baleba,7.18
Gabriel,7.15
Reinildo,7.15
Declan Rice,7.15
Enzo Fernández,7.14
Omar Alderete,7.13
Bernd Leno,7.12
Neco Williams,7.12
Tyrone Mings,7.12
Robert Sánchez,7.12
Joao Palhinha,7.11
Matthijs de Ligt,7.10
Granit Xhaka,7.08
Anton Stach,7.07
Rayan Ait Nouri,7.07
James Tarkowski,7.06
Aaron Wan-Bissaka,7.05
Djed Spence,7.04
Chris Richards,7.03
Djordje Petrovic,7.03
Daniel Munoz,7.02
Jorge Cuenca,7.02
Kiernan Dewsbury-Hall,7.02
Leny Yoro,7.02
Martin Dubravka,7.02
Max Dowman,7.02
Rodrigo Bentancur,7.02
Patrick Dorgu,7.01
Trai Hume,7.01
Anthony Elanga,7.00
Iliman Ndiaye,7.00
Marc Guehi,7.00
Ethan Ampadu,6.99
James Garner,6.99
James Ward-Prowse,6.99
Archie Gray,6.96
Luke Shaw,6.96
Jordan Pickford,6.93
Boubacar Kamara,6.93
Ibrahim Sangaré,6.92
Michael Kayode,6.92
Calvin Bassey,6.90
Hamed Traorè,6.90
Alex Scott,6.89
Rico Lewis,6.88
Michael Keane,6.87
Tyler Adams,6.83
Jenson Seelt,6.82
Rodrigo Muniz,6.82
Malick Diouf,6.82
Cole Palmer,6.81
Chemsdine Talbi,6.80
Alex Iwobi,6.79
Idrissa Gana Gueye,6.79
Ruben Dias,6.79
Bruno Guimaraes,6.78
Casemiro,6.78
Joao Gomes,6.78
Igor Thiago,6.76
Joshua King,6.75
Santiago Bueno,6.75
Ian Maatsen,6.74
Adam Wharton,6.73
Dominik Szoboszlai,6.73
Eberechi Eze,6.72
Pau Torres,6.72
Gabriel Martinelli,6.71
Youri Tielemans,6.71
Harry Wilson,6.70
Keane Lewis-Potter,6.70
Lucas Digne,6.70
Yankuba Minteh,6.70
Noah Sadiki,6.69
Quilindschy Hartman,6.69
Diego Gomez,6.68
Joelinton,6.68
Andre,6.68
Marcos Senesi,6.67
Rayan Cherki,6.67
Emiliano Martinez,6.66
Eliezer Mayenda,6.66
Jackson Tchatchoua,6.65
Pascal Struijk,6.65
Maxime Estève,6.64
Yehor Yarmoliuk,6.63
Hannibal Mejbri,6.62
