name,rating
Baris Alper Yilmaz,"8,85"
Rafa Silva,"8,40"
Mateusz Lis,"8,16"
Majid Hosseini,"8,15"
Deniz Ertas,"8,10"
Roland Sallai,"8,10"
Adil Demirbag,"8,07"
Ertugrul Taskiran,"8,07"
Milan Skriniar,"8,06"
Günay Güvenc,"7,84"
Evren Eren Elmali,"7,83"
Sander van de Streek,"7,82"
Felix Uduokhai,"7,78"
Mehmet Umut Nayir,"7,75"
Ugurcan Cakir,"7,73"
Veysel Sari,"7,71"
Enis Bardhi,"7,71"
Alassane Ndao,"7,69"
Ahmet Oguz,"7,25"
Nuno Lima,"7,23"
Davinson Sánchez,"7,22"
Okan Kocuk,"7,22"
Khusniddin Alikulov,"7,21"
Nuno Da Costa,"7,21"
Paul Onuachu,"7,20"
Deniz Türüc,"7,17"
Anthony Dennis,"7,17"
Haris Hajradinovic,"6,93"
Jakub Kaluzinski,"6,93"
Bilal Bayazit,"6,92"
Nélson Semedo,"6,92"
Peter Etebo,"6,90"
Attila Mocsi,"6,87"
Kenneth Paal,"6,87"
Abdurrahim Dursun,"6,87"
Metehan Mimaroglu,"6,87"
Oleksandr Zubkov,"6,39"
Pedro Pereira,"6,39"
Wilfred Ndidi,"6,39"
Kaan Ayhan,"6,36"
Mamadou Fall,"6,36"
Aaron Appindangoye,"6,34"
Nicholas Opoku,"6,34"
Ali Osman Kalin,"6,32"
Efecan Karaca,"6,31"
Berat Özdemir,"6,23"
Badou Ndiaye,"6,21"
Ali Kol,"6,20"
Salem M'Bakata,"6,20"
Youssef En-Nesyri,"6,20"
Bahadir Öztürk,"6,19"
Soner Gönül,"6,19"
Antoine Makoumbou,"6,17"
Show,"6,17"
